ya_id,ya_applicationrequestitemid,ya_itemvalue,ya_itemname,ya_order,ya_applicationrequest
,f7514d5f-2f83-ed11-81ad-002248627aef,内部定例会実施のため。,利用目的,5,c53347fe-80aa-4c0a-b7cf-858587b7cd6e
,f6514d5f-2f83-ed11-81ad-002248627aef,2022/12/24 14:00,利用終了日時,4,c53347fe-80aa-4c0a-b7cf-858587b7cd6e
,f5514d5f-2f83-ed11-81ad-002248627aef,2022/12/24 13:00,利用開始日時,3,c53347fe-80aa-4c0a-b7cf-858587b7cd6e
,f4514d5f-2f83-ed11-81ad-002248627aef,room1001@yappf.onmicrosoft.com,会議室メールアドレス,2,c53347fe-80aa-4c0a-b7cf-858587b7cd6e
,f3514d5f-2f83-ed11-81ad-002248627aef,Room1001,会議室名,1,c53347fe-80aa-4c0a-b7cf-858587b7cd6e
,e05d639b-2d83-ed11-81ad-002248627aef,セミナー開催のため。,利用目的,5,337c13f7-00d2-47de-8b6f-733d8583a91d
,df5d639b-2d83-ed11-81ad-002248627aef,2022/12/24 12:00,利用終了日時,4,337c13f7-00d2-47de-8b6f-733d8583a91d
,de5d639b-2d83-ed11-81ad-002248627aef,2022/12/24 11:00,利用開始日時,3,337c13f7-00d2-47de-8b6f-733d8583a91d
,dd5d639b-2d83-ed11-81ad-002248627aef,room1001@yappf.onmicrosoft.com,会議室メールアドレス,2,337c13f7-00d2-47de-8b6f-733d8583a91d
,dc5d639b-2d83-ed11-81ad-002248627aef,Room1001,会議室名,1,337c13f7-00d2-47de-8b6f-733d8583a91d
,00e58ec7-1780-ed11-81ad-002248627aef,Contoso社との定例会議,,5,a8c98a62-1780-ed11-81ad-002248627aef
,82bcfeb7-1780-ed11-81ad-002248627aef,2022/12/20 21:30,,4,a8c98a62-1780-ed11-81ad-002248627aef
,a3f880b1-1780-ed11-81ad-002248627aef,2022/12/20 21:00,,3,a8c98a62-1780-ed11-81ad-002248627aef
,ea778fa0-1780-ed11-81ad-002248627aef,room0201@yappf.onmicrosoft.com,,2,a8c98a62-1780-ed11-81ad-002248627aef
,03092b93-1780-ed11-81ad-002248627aef,Room0201,,1,a8c98a62-1780-ed11-81ad-002248627aef
